longitude,latitude,max_temp,min_temp,degrees_from_mean
-100.6203,40.2156,25.6,0,18.79
-105.0569,35.1842,24.4,-3.9,10.97
-104.4325,36.9194,22.2,2.8,22.43
-112.4086,42.8917,12.8,6.1,11.95
-99.8278,40.1306,28.3,-3.9,19.83
-119.7758,38.9547,16.1,6.1,11.82
-118.7239,47.7681,7.8,1.7,6.83
-111.1494,41.525,10,-8.3,10.07
-111.7339,40.3675,18.9,6.1,22.27
-122.1164,44.1792,10,6.1,6.91
-107.3172,39.5181,15.6,-5,9.76
-99.8556,42.5522,20.6,0.6,16.91
-119.7711,39.4839,13.9,7.2,10.75
-98.0283,41.1222,23.3,0.6,18.47
-104.4983,38.29,25.6,-2.8,15.28
-101.7386,43.1803,18.9,-1.7,15.74
-114.0358,40.7206,16.1,1.1,10.69
-109.3045,40.4378,17.2,-8.3,13.72
-118.4247,45.5114,8.9,3.3,8.78
-116.855,46.9603,7.8,4.4,8.11
-108.3133,46.8511,20,2.2,15.15
-112.1067,39.2453,17.8,2.2,21.23
-116.2225,41.3144,9.4,2.2,9.42
-104.4869,37.1786,22.8,3.3,12.24
-97.3278,41.4639,19.4,-2.2,16.93
-97.7644,41.4514,21.1,-5,17.08
-112.5545,45.2575,12.2,1.1,10.32
-110.0839,34.5081,21.7,-2.8,9.26
-112.6519,39.2872,18.3,3.3,10.38
-109.9503,45.8328,17.8,-2.8,12.73
-109.3464,40.3611,17.2,-7.2,14.16
-104.5164,46.4178,16.7,-5.6,16.47
-109.4847,37.6131,17.8,2.2,16.94
-104.5022,36.7414,21.1,-2.1,11.7
-104.6883,38.81,21.1,0,14.04
-111.7222,40.7497,16.1,0,10.64
-98.6564,42.4594,18.9,-3.9,16.72
-103.7158,39.1894,22.8,-3.8,16.36
-118.6339,41.9892,11.7,6.7,10.95
-109.0528,41.5944,11.7,0,10.93
-110.5067,47.9303,20,-10.6,16.05
-99.9683,37.7608,24.4,5,25.86
-107,36.9358,17.8,-9.4,10.37
-114.8467,39.2953,11.7,2.2,11.54
-107.8792,38.4858,14.4,3.3,10.13
-105.8322,40.2669,10,-9.4,8.29
-117.6569,42.8592,15.6,7.8,12.78
-111.81,41.9064,15,0.6,11.93
-119.7072,36.9969,23.9,7.2,7.57
-111.6044,40.0797,18.3,-2.2,11.9
-101.4542,35.6364,26.7,6.7,13.9
-111.6325,45.4856,13.3,6.1,11.16
-119.0264,36.3817,23.9,12.2,7.32
-112.0122,46.9914,17.2,2.8,12.24
-113.8981,42.2342,12.8,4.4,9.07
-104.3753,36.9825,16.7,0,10.43
-108.5931,37.3444,16.7,-1.7,9.13
-103.2167,40.1667,21.7,1.7,24.84
-104.9614,43.4117,16.1,2.2,11.72
-102.9847,41.1014,21.1,-4.3,15.23
-111.0453,45.6622,13.3,2.8,10.8
-95.8992,41.3103,20,-1.1,17
-96.7475,40.8508,21.7,-2.8,17.81
-106.1872,37.5811,16.7,-5.6,13.35
-112.4133,43.0428,13.3,-6.7,9.99
-100.6694,41.1214,23.9,-6.7,18.57
-117.8081,40.9017,16.7,6.7,11.81
-103.1539,36.4486,23.9,6.1,24.86
-108.7769,33.7158,21.7,-10.6,8.56
-111.7428,35.2681,17.8,-8.3,10.5
-112.2656,46.6456,12.2,-1.1,10.72
-112.7975,46.3911,15,2.2,23.8
-103.2153,38.0636,25.6,2.2,23.79
-108.2036,43.6483,17.2,4.4,25.4
-101.62,40.51,24.4,-2.1,18.28
-111.435,40.9656,14.4,-2.8,10.45
-103.3283,35.1086,26.7,7.8,23.19
-95.0039,41.4175,18.9,-1.1,17.15
-98.3136,40.9611,23.9,-1.1,20.11
-108.54,39.1342,17.8,-1.1,10.43
-102.5167,40.8592,22.8,-1.1,15.98
-105.4661,38.1311,16.1,-3.9,11.08
-113.9886,40.0378,18.3,1.7,10.85
-106.73,36.5928,16.1,-8.3,9.3
-118.1631,40.6564,15.6,5,9.89
-107.9058,40.0358,12.2,-6.7,8.6
-115.5617,32.7669,26.1,19.4,12.36
-108.5397,46.4414,20.6,-1.1,14.74
-103.5931,41.8706,20.6,-3.9,14.15
-117.8086,44.8428,10,5,10.8
-103.6933,38.0392,25.6,1.1,14.29
-104.5461,45.8903,15,-10,13.52
-109.5458,38.5744,22.2,0.6,11.4
-123.3572,42.9506,23.3,2.8,10.57
-106.3714,39.2494,10,-7.2,10.06
-112.0775,38.7619,19.4,-1.1,11.3
-108.9417,33.8225,22.2,-5.6,11.23
-107.6092,45.7317,22.2,-2.2,17.44
-107.2278,46.2942,18.9,-3.9,14.45
-112.6447,45.2128,11.1,1.7,10.22
-106.9597,45.5397,18.3,-2.2,15.34
-118.3047,40.4661,15.6,6.1,11.6
-118.7811,39.4572,18.3,6.1,10.67
-109.2531,45.9636,20.6,4.4,29.03
-117.0675,39.4931,12.8,4.4,9.61
-117.5314,45.5722,12.2,3.9,9.24
-108.8389,35.0706,21.1,-7.2,10.38
-105.4164,36.71,13.3,-7.8,9.24
-108.2292,36.7436,18.9,-2.7,9.98
-113.4514,45.6178,7.2,-1.1,15.1
-103.5122,38.0494,23.9,3.9,24.48
-112.3261,45.5472,13.9,1.7,11
