longitude,latitude,max_temp,min_temp
-92.2389,34.7272,37.8,22.8
-99.91,38.4478,38.3,20.6
-101.0689,39.3925,38.3,17.2
-100.6203,40.2156,38.9,16.7
-89.5308,34.3725,36.7,20
-91.6719,44.5647,32.8,20
-92.9244,42.0647,28.3,20.6
-109.5531,40.4269,19.4,14.4
-89.7667,43.6089,33.9,16.1
-92.2617,37.1542,30.6,21.1
-91.7556,33.6361,37.2,24.4
-98.3036,39.8775,38.3,17.8
-99.8278,40.1306,39.4,15.6
-112.4208,34.6517,19.4,14.4
-105.9392,37.1742,26.1,12.2
-100.7494,41.0569,37.8,18.9
-107.3172,39.5181,31.1,14.4
-94.3736,37.8394,35.6,22.8
-92.4917,43.9042,33.3,19.4
-106.3083,37.6908,27.2,10.6
-88.7108,40.7394,36.1,18.9
-104.4983,38.29,33.3,16.7
-95.0192,40.7244,35,19.4
-102.9297,38.0633,37.2,22.2
-103.0822,40.4897,35.6,17.2
-90.7964,35.2547,36.1,23.3
-89.3586,38.3431,35,21.7
-92.0189,34.2256,36.7,23.3
-91.4878,44.8664,32.2,19.4
-95.8031,38.6361,37.8,20.6
-90.7847,39.1506,35.6,21.7
-92.8236,33.59,37.8,19.4
-89.6231,36.8775,32.8,22.8
-99.0133,40.7258,36.1,18.3
-90.7036,42.3978,34.4,19.4
-100.2389,39.0669,37.8,20.6
-97.3278,41.4639,36.1,22.2
-93.7158,40.2472,36.7,24.4
-88.8456,35.6214,36.1,18.3
-97.7644,41.4514,36.1,19.4
-96.1897,38.3306,34.4,21.7
-99.7231,38.7978,39.4,22.2
-110.0839,34.5081,19.4,14.4
-109.6436,44.8675,22.8,7.2
-90.5169,38.8147,30,22.2
-97.1669,40.0739,37.8,19.4
-112.3964,47.4931,25,16.7
-104.4936,41.6264,24.4,14.4
-95.6292,43.0864,32.2,20
-92.5808,38.3486,31.7,22.8
-98.6564,42.4594,32.8,20.6
-91.0986,43.2117,34.4,19.4
-89.0711,33.1356,35.6,20
-100.2875,45.9042,26.1,18.9
-86.3164,41.7072,33.3,18.9
-106.38,48.9989,20.6,13.9
-93.2289,44.8831,34.4,21.1
-85.9878,34.0219,33.3,23.9
-90.3817,32.9028,36.7,22.2
-107,36.9358,32.2,8.9
-105.8322,40.2669,20.6,7.2
-91.9481,33.1111,37.2,18.9
-89.6839,40.6675,36.7,22.2
-93.5264,44.0708,26.1,20
-102.6361,41.1489,36.7,16.1
-87.8156,42.5608,29.4,20.6
-87.9336,41.995,34.4,20
-90.1814,43.2119,35,18.9
-88.2403,40.0839,36.1,18.9
-112.1456,37.7064,18.3,11.1
-88.6244,39.1181,29.4,21.1
-91.1253,40.7833,37.8,22.2
-111.6433,38.4058,17.2,11.1
-108.5931,37.3444,26.7,15
-94.2428,40.7053,35,20
-95.8992,41.3103,37.2,23.9
-87.6353,34.2314,32.2,22.2
-95.6261,39.0725,36.7,22.2
-90.6828,38.6989,29.4,22.2
-92.3989,33.8228,37.2,20.6
-89.2344,37.4814,34.4,22.2
-99.9483,46.8947,24.4,17.8
-96.7475,40.8508,37.8,23.3
-98.5325,43.0689,33.3,21.7
-100.6694,41.1214,35.6,18.9
-102.7769,38.4758,34.4,19.4
-90.7417,41.2019,31.1,21.1
-111.7428,35.2681,17.2,13.3
